회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member
1009040384,정상회원,수지구-동천동,여,60,미신청,.,normal
1009066368,정상회원,기흥구-보정동,여,52,미신청,.,normal
100932992,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1009355904,정상회원,수지구-신봉동,여,37,미신청,수신,normal
1009381888,정상회원,수지구-풍덕천동,여,44,미신청,.,normal
1009406016,정상회원,기흥구-청덕동,남,51,미신청,.,normal
1009480256,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1009495104,정상회원,수지구-동천동,여,45,미신청,.,normal
1009508096,정상회원,수지구-동천동,여,51,미신청,.,normal
100955264,정상회원,수지구-풍덕천동,여,85,미신청,.,normal
1009565632,정상회원,서울 강남구-기타,여,67,미신청,.,normal
1009641728,정상회원,수지구-풍덕천동,여,44,미신청,.,normal
1009671424,정상회원,기흥구-보정동,여,38,미신청,.,normal
1009959104,정상회원,수지구-동천동,여,30,미신청,.,normal
1010090880,정상회원,수지구-풍덕천동,여,42,미신청,수신,normal
101010944,정상회원,수원 팔달구-기타,여,69,미신청,.,normal
1010144704,정상회원,수지구-신봉동,남,77,미신청,.,normal
1010334016,정상회원,기타-기타,여,61,미신청,.,normal
101035072,정상회원,수지구-성복동,여,46,미신청,.,normal
1010391552,정상회원,수지구-풍덕천동,여,42,신청,.,normal
1010430528,정상회원,수지구-풍덕천동,여,65,미신청,.,normal
1010465792,정상회원,수지구-상현동,여,42,미신청,.,normal
1010515904,정상회원,분당구-수내동,남,37,미신청,.,normal
1010573440,정상회원,서울 강남구-기타,여,36,미신청,.,normal
1010803584,정상회원,수지구-동천동,여,70,미신청,.,normal
1010820288,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1010955776,정상회원,수지구-동천동,여,38,미신청,.,normal
1010970624,정상회원,수지구-동천동,여,70,미신청,.,normal
1011000320,정상회원,수지구-동천동,여,62,미신청,.,normal
1011035584,정상회원,수지구-풍덕천동,여,74,미신청,.,normal
1011100544,정상회원,수지구-풍덕천동,여,38,미신청,.,normal
1011139520,정상회원,수지구-상현동,여,44,미신청,.,normal
1011145088,정상회원,서울 송파구-기타,여,36,신청,수신,normal
1011343680,정상회원,수지구-풍덕천동,여,43,미신청,.,normal
1011488448,정상회원,수지구-동천동,여,39,미신청,.,normal
1011540416,정상회원,수지구-신봉동,여,40,미신청,.,normal
1011553408,정상회원,수지구-풍덕천동,여,79,미신청,.,normal
1011625792,정상회원,기흥구-기타,여,63,미신청,.,normal
1011982144,정상회원,기흥구-언남동,여,41,미신청,.,normal
1012026688,정상회원,수지구-신봉동,여,62,미신청,.,normal
1012093504,정상회원,수지구-동천동,여,46,미신청,.,normal
1012191872,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1012531520,정상회원,수지구-상현동,여,44,미신청,.,normal
1012615040,정상회원,수지구-동천동,여,72,미신청,.,normal
1012713408,정상회원,분당구-중동,여,55,미신청,.,normal
1012778368,정상회원,수지구-풍덕천동,여,42,미신청,.,normal
1012837760,정상회원,수지구-동천동,여,46,미신청,.,normal
1012941696,정상회원,수지구-풍덕천동,여,51,미신청,.,normal
101300480,정상회원,수지구-상현동,여,52,신청,.,normal
1013004800,정상회원,수지구-동천동,여,48,미신청,.,normal
1013056768,정상회원,수지구-풍덕천동,여,41,미신청,.,normal
1013108736,정상회원,수지구-동천동,여,51,미신청,.,normal
1013136576,정상회원,수지구-동천동,여,47,미신청,.,normal
1013156992,정상회원,수지구-동천동,여,45,미신청,.,normal
1013168128,정상회원,분당구-구미동,여,51,미신청,.,normal
101319040,정상회원,수지구-성복동,여,67,미신청,.,normal
1013446528,정상회원,수지구-상현동,여,40,미신청,.,normal
1013457664,정상회원,수지구-상현동,여,70,미신청,.,normal
1013507776,정상회원,수지구-상현동,남,79,미신청,.,normal
1013658112,정상회원,수지구-동천동,여,37,미신청,.,normal
1013669248,정상회원,수지구-죽전동,여,45,신청,.,normal
1013685952,정상회원,수지구-상현동,여,43,미신청,.,normal
1013791744,정상회원,수지구-풍덕천동,여,69,미신청,.,normal
1013851136,정상회원,수지구-상현동,여,68,미신청,.,normal
1013999616,정상회원,수지구-동천동,여,47,미신청,.,normal
1014086848,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1014120256,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1014159232,정상회원,기타-기타,여,36,미신청,.,normal
1014279872,정상회원,수지구-풍덕천동,여,54,미신청,.,normal
1014539712,정상회원,수지구-풍덕천동,여,65,미신청,수신,normal
1014729024,정상회원,수지구-동천동,여,70,미신청,.,normal
1014857088,정상회원,수지구-신봉동,여,60,미신청,.,normal
1014864512,정상회원,수지구-신봉동,여,78,미신청,.,normal
1014870080,정상회원,수지구-신봉동,여,37,미신청,.,normal
1014884928,정상회원,수지구-풍덕천동,여,35,미신청,.,normal
1014920192,정상회원,수지구-풍덕천동,여,39,미신청,.,normal
1014948032,정상회원,수지구-풍덕천동,여,63,미신청,.,normal
1014981440,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1015011136,정상회원,수지구-풍덕천동,여,29,신청,.,normal
1015194880,정상회원,수지구-풍덕천동,여,62,미신청,.,normal
1015235712,정상회원,수지구-풍덕천동,여,36,미신청,.,normal
1015246848,정상회원,수지구-풍덕천동,여,43,신청,.,normal
1015321088,정상회원,수지구-동천동,여,46,미신청,.,normal
1015356352,정상회원,수지구-동천동,여,48,미신청,.,normal
1015358208,정상회원,수지구-동천동,여,49,미신청,.,normal
1015449152,정상회원,기흥구-보정동,여,67,미신청,.,normal
1015495552,정상회원,수지구-동천동,여,52,미신청,.,normal
1015502976,정상회원,수지구-동천동,여,48,미신청,.,normal
1015517824,정상회원,기타-기타,남,48,미신청,.,normal
1015525248,정상회원,기타-기타,여,49,미신청,.,normal
101554752,정상회원,기타-기타,여,42,미신청,.,normal
1015562368,정상회원,수지구-동천동,여,54,미신청,.,normal
1015614336,정상회원,기타-기타,여,40,미신청,.,normal
1015683008,정상회원,수지구-풍덕천동,여,36,미신청,.,normal
